CycPeptMPDB_ID,Source,Year,Original_Name_in_Source_Literature,Structurally_Unique_ID,SMILES,Monomer_Length,Molecule_Shape,PAMPA,Caco2,MDCK,RRCK,MolLogP,split1,split2,split3,split4,split5,split6,split7,split8,split9,split10,Normalized_PAMPA,Binary,Soft_Label,TPSA,Sequence_TPSA,Sum_Seq_PSA,TPSA_consistence,Normalized_MolLogP,Normalized_TPSA,Pred_1,Pred_2,Pred_3,Pred_4,Pred_5,Pred_6,Pred_7,Pred_8,Pred_9
12,2006_Rezai_2,2006,compd.25,12,COc1ccc(C[C@@H]2NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)[C@H]3CCCN3C(=O)[C@@H]3CCCN3C2=O)cc1,6,Circle,-7.05,,,,2.3108,train,train,train,train,train,train,train,train,train,train,-0.525,0,0.0,166.25,"[38.33, 20.31, 20.31, 29.1, 29.1, 29.1]",166.25,True,0.067888177,-0.72893745,-0.49462867,-0.45046034,-0.5457233,-0.45034975,-0.62446696,-0.65866524,-0.45507616,-0.5467692,-0.38685617
13,2006_Rezai_2,2006,compd.42,13,COc1ccc(C[C@@H]2NC(=O)[C@@H](CC(C)C)NC(=O)[C@H]3CCCN3C(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H]3CCCN3C2=O)cc1,6,Circle,-7.27,,,,2.3108,train,train,train,train,train,train,train,train,train,train,-0.635,0,0.0,166.25,"[38.33, 20.31, 29.1, 29.1, 20.31, 29.1]",166.25,True,0.067888177,-0.72893745,-0.5765069,-0.59835374,-0.6037447,-0.6238465,-0.6728235,-0.78556806,-0.6150462,-0.5679167,-0.34011164
14,2006_Rezai_2,2006,compd.46,14,COc1ccc(C[C@@H]2NC(=O)[C@@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H]3CCCN3C2=O)cc1,6,Circle,-7.16,,,,2.8507,train,train,test,train,train,test,test,test,test,train,-0.58,0,0.0,175.04,"[38.33, 20.31, 29.1, 29.1, 29.1, 29.1]",175.04,True,0.177645254,-0.662009365,-0.42873037,-0.54973686,-0.32555032,-0.5997682,-0.42775658,-0.45057443,-0.59391606,-0.5174145,-0.36827943
15,2006_Rezai_2,2006,compd.69,15,COc1ccc(C[C@@H]2NC(=O)[C@@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)[C@@H]3CCCN3C2=O)cc1,6,Circle,-6.52,,,,2.8507,train,train,test,train,train,test,train,train,train,train,-0.26,0,0.0,175.04,"[38.33, 20.31, 29.1, 29.1, 29.1, 29.1]",175.04,True,0.177645254,-0.662009365,-0.26439488,-0.35935947,-0.250112,-0.2501456,-0.30962154,-0.18072459,-0.5143251,-0.34122851,-0.47606543
16,2006_Rezai_2,2006,compd.100,16,COc1ccc(C[C@@H]2NC(=O)[C@@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)[C@@H]3CCCN3C2=O)cc1,6,Circle,-6.68,,,,2.8507,train,train,train,train,valid,test,train,train,test,train,-0.34,0,0.0,175.04,"[38.33, 20.31, 29.1, 29.1, 29.1, 29.1]",175.04,True,0.177645254,-0.662009365,-0.121574245,-0.25614208,-0.23398346,-0.37627962,-0.27181655,-0.31425032,-0.31081843,-0.29947707,-0.34468323
17,2006_Rezai_2,2006,compd.112,17,COc1ccc(C[C@@H]2NC(=O)[C@@H](CC(C)C)NC(=O)[C@@H]3CCCN3C(=O)[C@@H](CC(C)C)NC(=O)[C@H]3CCCN3C(=O)[C@H](CC(C)C)NC(=O)[C@H]3CCCN3C2=O)cc1,7,Circle,-7.29,,,,2.3018,train,train,train,train,train,train,valid,test,valid,train,-0.645,0,0.0,186.56,"[38.33, 20.31, 29.1, 20.31, 29.1, 20.31, 29.1]",186.56,True,0.066058554,-0.574294742,-0.5296678,-0.31157532,-0.41599128,-0.6214803,-0.52262694,-0.8241372,-0.11748236,-0.18244934,-0.03577896
18,2006_Rezai_2,2006,compd.114,18,COc1ccc(C[C@@H]2NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H]3CCCN3C2=O)cc1,6,Circle,-6.75,,,,2.8507,valid,train,train,train,train,train,train,train,train,valid,-0.375,0,0.0,175.04,"[38.33, 20.31, 29.1, 29.1, 29.1, 29.1]",175.04,True,0.177645254,-0.662009365,-0.45703694,-0.26683733,-0.39523,-0.4045544,-0.47566402,-0.5809682,-0.3274055,-0.44850048,-0.24494132
19,2006_Rezai_2,2006,compd.218,19,COc1ccc(C[C@@H]2NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H]3CCCN3C(=O)[C@@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H]3CCCN3C2=O)cc1,7,Circle,-6.95,,,,2.8417,test,train,train,train,train,train,train,train,train,train,-0.475,0,0.0,195.35,"[38.33, 20.31, 29.1, 29.1, 20.31, 29.1, 29.1]",195.35,True,0.175815631,-0.507366658,-0.4093715,-0.51396155,-0.47423804,-0.5064584,-0.5612324,-0.51019615,-0.41603956,-0.5259252,-0.29931024
20,2006_Rezai_2,2006,compd.225,20,COc1ccc(C[C@@H]2NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)[C@H]3CCCN3C(=O)[C@H](CC(C)C)NC(=O)[C@H]3CCCN3C2=O)cc1,7,Circle,-7.12,,,,2.8417,train,train,train,test,train,train,test,train,train,test,-0.56,0,0.0,195.35,"[38.33, 20.31, 29.1, 20.31, 29.1, 29.1, 29.1]",195.35,True,0.175815631,-0.507366658,-0.59811395,-0.3717293,-0.34658325,-0.29219,-0.4385339,-0.5746924,-0.14386272,-0.2890378,-0.1547243
21,2006_Rezai_2,2006,compd.294,21,COc1ccc(C[C@@H]2NC(=O)[C@@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H]3CCCN3C2=O)cc1,7,Circle,-6.41,,,,3.3816,train,train,test,train,train,valid,train,train,test,test,-0.205,0,0.3975,204.14,"[38.33, 20.31, 29.1, 29.1, 29.1, 29.1, 29.1]",204.14,True,0.285572708,-0.440438573,-0.14210148,-0.14040536,-0.18791157,-0.24157745,-0.2686521,-0.55282056,-0.13432895,-0.28323868,-0.28369397
59,2013_CHUGAI,2013,DP-37,59,CC[C@H](C)[C@H]1C(=O)N[C@H](C(=O)N2CCCCC2)CC(=O)N[C@@H](C)C(=O)N(C)[C@@H](Cc2ccccc2)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H]([C@@H](C)O)C(=O)N(C)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](COC(C)(C)C)C(=O)N1C,10,Lariat,-4.51,,,,1.705,train,train,train,train,valid,train,train,train,test,train,0.745,1,1.0,267.72,"[29.1, 20.31, 20.31, 38.33, 20.31, 20.31, 38.33, 20.31, 46.17, 3.24]",256.72,True,-0.055265809,0.043666959,0.83436453,0.8214692,0.7973053,0.77768064,0.7634446,0.7777298,0.71598905,0.848996,0.85476506
60,2013_CHUGAI,2013,DP-38,60,CC(C)C[C@H]1C(=O)N[C@@H](COC(C)(C)C)C(=O)N[C@H](C(=O)N2CCCCC2)CC(=O)N[C@@H](C)C(=O)N(C)[C@@H](C)C(=O)N(C)[C@@H](Cc2ccccc2)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H]([C@@H](C)O)C(=O)N(C)CC(=O)N1C,10,Lariat,-4.8,,,,0.6788,train,train,train,train,train,train,valid,train,train,train,0.6,1,1.0,267.72,"[29.1, 20.31, 20.31, 20.31, 38.33, 20.31, 20.31, 38.33, 46.17, 3.24]",256.72,True,-0.263883538,0.043666959,0.69866484,0.6902551,0.593308,0.5704232,0.63417685,0.6413892,0.6101368,0.70790356,0.7325311
61,2013_CHUGAI,2013,DP-39,61,CC(C)C[C@H]1C(=O)N[C@@H](COC(C)(C)C)C(=O)N[C@H](C(=O)N2CCCCC2)CC(=O)N(C)[C@@H](C)C(=O)N(C)[C@@H](C)C(=O)N(C)[C@@H](Cc2ccccc2)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H]([C@@H](C)O)C(=O)N(C)CC(=O)N1C,10,Lariat,-4.8,,,,1.021,valid,valid,train,train,train,test,train,train,train,train,0.6,1,1.0,258.93,"[20.31, 20.31, 20.31, 20.31, 38.33, 20.31, 20.31, 38.33, 46.17, 3.24]",247.93,True,-0.19431719,-0.023261126,0.8038052,0.68670523,0.6904187,0.61598796,0.67522424,0.7092902,0.6993659,0.76425695,0.73544693
70,2013_CHUGAI,2013,DP-52,70,CC(C)C[C@H]1C(=O)NCC(=O)N[C@H](C(=O)N2CCCCC2)CC(=O)N[C@H](C)C(=O)N[C@@H]([C@@H](C)O)C(=O)N(C)[C@@H](C)C(=O)N(C)[C@@H](Cc2ccccc2)C(=O)N[C@@H](COC(C)(C)C)C(=O)N(C)[C@@H](Cc2ccccc2)C(=O)N1C,10,Lariat,-4.64,,,,0.5332,train,test,train,train,train,test,train,train,train,train,0.68,1,1.0,276.51,"[29.1, 38.33, 20.31, 20.31, 38.33, 20.31, 20.31, 29.1, 46.17, 3.24]",265.51,True,-0.29348278,0.110595043,0.7434036,0.6096042,0.7397908,0.6830615,0.60667914,0.6945557,0.7083337,0.7956583,0.68515843
78,2013_CHUGAI,2013,DP-60,78,CC[C@H](C)[C@H]1C(=O)N[C@H](C(=O)N2CCCCC2)CC(=O)N(C)CC(=O)N(C)CC(=O)N[C@@H]([C@@H](C)O)C(=O)N(C)[C@@H](Cc2ccccc2)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](COC(C)(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N1C,10,Lariat,-4.38,,,,1.6587,train,train,train,valid,train,train,train,train,train,train,0.81,1,1.0,258.93,"[20.31, 20.31, 38.33, 20.31, 20.31, 38.33, 20.31, 20.31, 46.17, 3.24]",247.93,True,-0.064678205,-0.023261126,0.8261467,0.7189443,0.7907295,0.86626,0.7592554,0.73785424,0.68805474,0.77968866,0.8063675
95,2013_CHUGAI,2013,DP-77,95,CC[C@H](C)[C@H]1C(=O)N[C@H](C(=O)N2CCCCC2)CC(=O)N[C@H](C)C(=O)N(C)[C@@H](Cc2ccccc2)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H]([C@@H](C)O)C(=O)N(C)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](COC(C)(C)C)C(=O)N1C,10,Lariat,-4.68,,,,1.705,valid,valid,train,train,train,train,train,train,train,train,0.66,1,1.0,267.72,"[29.1, 20.31, 20.31, 38.33, 20.31, 20.31, 38.33, 20.31, 46.17, 3.24]",256.72,True,-0.055265809,0.043666959,0.9049571,0.797835,0.781421,0.7350432,0.7851839,0.7546187,0.7539095,0.84129167,0.84020543
96,2013_CHUGAI,2013,DP-78,96,CC(C)C[C@H]1C(=O)N(C)[C@@H](Cc2ccccc2)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@H](C(=O)N2CCCCC2)CC(=O)N[C@H](C(C)C)C(=O)N[C@@H](C)C(=O)N[C@@H]([C@@H](C)O)C(=O)N(C)[C@@H](C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N1C,10,Lariat,-4.42,,,,1.7888,train,train,train,train,train,test,train,train,train,train,0.79,1,1.0,267.28,"[29.1, 29.1, 38.33, 20.31, 29.1, 20.31, 20.31, 20.31, 46.17, 3.24]",256.28,True,-0.038229982,0.040316747,0.81680363,0.6543087,0.7204121,0.77949554,0.6664381,0.71721506,0.5809561,0.7053707,0.71928954
97,2013_CHUGAI,2013,DP-79,97,CC(C)C[C@H]1C(=O)NCC(=O)N[C@H](C(=O)N2CCCCC2)CC(=O)N(C)[C@@H](C)C(=O)N[C@@H]([C@@H](C)O)C(=O)N(C)[C@@H](C)C(=O)N(C)[C@@H](Cc2ccccc2)C(=O)N[C@@H](COC(C)(C)C)C(=O)N(C)[C@@H](Cc2ccccc2)C(=O)N1C,10,Lariat,-4.55,,,,0.8754,train,train,train,train,train,train,valid,train,train,train,0.725,1,1.0,267.72,"[20.31, 38.33, 20.31, 20.31, 38.33, 20.31, 20.31, 29.1, 46.17, 3.24]",256.72,True,-0.223916431,0.043666959,0.79845506,0.69454443,0.76857793,0.7159736,0.66445833,0.7034574,0.7291368,0.8687935,0.7336464
98,2013_CHUGAI,2013,DP-80,98,CC(C)C[C@H]1C(=O)N(C)[C@@H](Cc2ccccc2)C(=O)NCC(=O)N[C@H](C(=O)N2CCCCC2)CC(=O)N(C)CCC(=O)N[C@@H]([C@@H](C)O)C(=O)N(C)[C@@H](C)C(=O)N[C@@H](COC(C)(C)C)C(=O)N(C)[C@@H](Cc2ccccc2)C(=O)N1C,10,Lariat,-4.92,,,,0.877,train,valid,train,train,train,train,valid,test,train,train,0.54,1,1.0,267.72,"[20.31, 38.33, 20.31, 38.33, 20.31, 20.31, 20.31, 29.1, 46.17, 3.24]",256.72,True,-0.223591165,0.043666959,0.6411958,0.6448239,0.67943233,0.5852026,0.5387888,0.59132695,0.66258186,0.8041565,0.73227674
99,2013_CHUGAI,2013,DP-81,99,CC[C@H](C)[C@H]1C(=O)N[C@H](C(=O)N2CCCCC2)CC(=O)N(C)[C@H](C)C(=O)N(C)[C@@H](Cc2ccccc2)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H]([C@@H](C)O)C(=O)N(C)CC(=O)N[C@@H](COC(C)(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N1C,10,Lariat,-4.6,,,,2.0472,train,train,train,test,train,train,train,train,train,train,0.7,1,1.0,258.93,"[20.31, 20.31, 20.31, 38.33, 20.31, 38.33, 20.31, 20.31, 46.17, 3.24]",247.93,True,0.01430054,-0.023261126,0.8256731,0.7612157,0.7684229,0.830694,0.7636803,0.780721,0.7851589,0.8724857,0.8584436
137,2013_CHUGAI,2013,DP-125,137,CC(C)C[C@@H]1NC(=O)[C@H](Cc2ccccc2)N(C)C(=O)[C@H](Cc2ccccc2)N(C)C(=O)[C@H](CC(C)C)NC(=O)[C@H](C)N(C)C(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](C)N(C)C(=O)C[C@@H](C(=O)N2CCCCC2)NC(=O)[C@H](CC(C)C)N(C)C1=O,10,Lariat,-4.26,,,,2.5211,train,train,train,train,train,valid,valid,test,train,train,0.87,1,1.0,258.49,"[20.31, 38.33, 20.31, 29.1, 20.31, 20.31, 29.1, 20.31, 46.17, 3.24]",247.49,True,0.110640378,-0.026611337,0.8767132,0.8307112,0.85327315,0.8887083,0.7663791,0.7607185,0.74602044,0.8879691,0.9261054
138,2013_CHUGAI,2013,DP-126,138,CC(C)C[C@@H]1NC(=O)[C@H](Cc2ccccc2)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)CCN(C)C(=O)C[C@@H](C(=O)N2CCCCC2)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](Cc2ccccc2)N(C)C(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](Cc2ccccc2)N(C)C1=O,10,Lariat,-4.27,,,,4.0877,train,valid,train,train,train,train,train,train,valid,train,0.865,1,1.0,249.7,"[20.31, 20.31, 20.31, 29.1, 20.31, 38.33, 20.31, 20.31, 46.17, 3.24]",238.7,True,0.429116831,-0.093539422,0.87055665,0.37481397,0.6449484,0.88741165,0.81465393,0.77773625,0.7645972,0.7188103,0.7485315
139,2013_CHUGAI,2013,DP-127,139,CC(C)C[C@@H]1NC(=O)[C@@H](C)N(C)C(=O)C[C@@H](C(=O)N2CCCCC2)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](Cc2ccccc2)N(C)C(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc2ccccc2)N(C)C(=O)[C@H](C)N(C)C(=O)[C@H]([C@@H](C)O)NC1=O,10,Lariat,-4.33,,,,2.5211,train,train,train,train,train,train,test,train,train,train,0.835,1,1.0,258.49,"[20.31, 29.1, 38.33, 20.31, 20.31, 29.1, 20.31, 20.31, 46.17, 3.24]",247.49,True,0.110640378,-0.026611337,0.82296526,0.74107087,0.7671197,0.8474641,0.6629334,0.7745026,0.6984404,0.7930077,0.87909955
140,2013_CHUGAI,2013,DP-128,140,CC(C)C[C@H]1C(=O)N[C@@H]([C@@H](C)O)C(=O)N(C)[C@@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@H](C(=O)N2CCCCC2)CC(=O)N(C)CCCC(=O)N[C@@H](C)C(=O)N(C)[C@@H](Cc2ccccc2)C(=O)N[C@@H](Cc2ccccc2)C(=O)N1C,10,Lariat,-4.64,,,,1.8866,train,valid,train,train,test,train,train,train,train,valid,0.68,1,1.0,258.49,"[20.31, 29.1, 20.31, 29.1, 20.31, 38.33, 20.31, 20.31, 46.17, 3.24]",247.49,True,-0.018348074,-0.026611337,0.7707997,0.73069537,0.7752129,0.6770012,0.6857627,0.74847883,0.71578175,0.68930423,0.72179115
141,2013_CHUGAI,2013,DP-129,141,CC(C)C[C@H]1C(=O)N(C)[C@@H](Cc2ccccc2)C(=O)NCC(=O)N[C@H](C(=O)N2CCCCC2)CC(=O)N(C)CCCC(=O)N[C@@H]([C@@H](C)O)C(=O)N(C)[C@@H](C)C(=O)N(C)[C@@H](Cc2ccccc2)C(=O)N[C@@H](COC(C)(C)C)C(=O)N1C,10,Lariat,-4.77,,,,1.2671,valid,train,valid,test,train,train,train,train,test,test,0.615,1,1.0,267.72,"[20.31, 38.33, 20.31, 20.31, 38.33, 20.31, 20.31, 29.1, 46.17, 3.24]",256.72,True,-0.144287153,0.043666959,0.6102383,0.6457553,0.6592667,0.55719036,0.5804902,0.64330053,0.691721,0.71512115,0.7116635
142,2013_CHUGAI,2013,DP-130,142,CC(C)C[C@H]1C(=O)N[C@@H]([C@@H](C)O)C(=O)N(C)[C@@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](Cc2ccccc2)C(=O)N[C@@H](COC(C)(C)C)C(=O)N[C@H](C(=O)N2CCCCC2)CC(=O)N(C)CCCC(=O)N(C)[C@@H](C)C(=O)N1C,10,Lariat,-4.68,,,,1.8012,test,train,train,train,train,train,train,train,train,test,0.66,1,1.0,258.93,"[20.31, 20.31, 20.31, 38.33, 20.31, 20.31, 20.31, 38.33, 46.17, 3.24]",247.93,True,-0.035709167,-0.023261126,0.5953888,0.68674207,0.73466724,0.59694046,0.62346035,0.7151566,0.67396456,0.7792161,0.7139039
159,2013_CHUGAI,2013,DP-148,159,CC(C)C[C@H]1C(=O)N[C@@H](COC(C)(C)C)C(=O)N[C@H](C(=O)N2CCCCC2)CC(=O)N[C@H](C)C(=O)N(C)[C@@H](C)C(=O)N(C)[C@@H](Cc2ccccc2)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H]([C@@H](C)O)C(=O)N(C)[C@@H](C)C(=O)N1C,10,Lariat,-4.51,,,,1.0673,train,train,train,test,train,train,test,train,train,train,0.745,1,1.0,267.72,"[29.1, 20.31, 20.31, 20.31, 38.33, 20.31, 20.31, 38.33, 46.17, 3.24]",256.72,True,-0.184904794,0.043666959,0.7598538,0.6688272,0.6974145,0.6553889,0.67909634,0.70542306,0.6760739,0.76703125,0.7352954
161,2013_CHUGAI,2013,DP-150,161,CC(C)C[C@H]1C(=O)N[C@@H]([C@@H](C)O)C(=O)N(C)[C@@H](C)C(=O)N[C@H](C(=O)N2CCCCC2)CC(=O)N(C)[C@@H](C)C(=O)N[C@@H](C)C(=O)N(C)[C@@H](Cc2ccccc2)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N1C,10,Lariat,-4.48,,,,1.4949,train,train,train,valid,train,train,train,train,valid,test,0.76,1,1.0,258.49,"[20.31, 29.1, 20.31, 20.31, 29.1, 20.31, 38.33, 20.31, 46.17, 3.24]",247.49,True,-0.097977351,-0.026611337,0.81736284,0.7178331,0.7578387,0.7579492,0.7028992,0.72030157,0.7318316,0.8460486,0.75016594
