CycPeptMPDB_ID,Source,Year,Original_Name_in_Source_Literature,Structurally_Unique_ID,SMILES,Monomer_Length,Molecule_Shape,PAMPA,Caco2,MDCK,RRCK,MolLogP,split0,split1,split2,split3,split4,split5,split6,split7,split8,split9,Normalized_PAMPA,Binary,Soft_Label
1048,2015_Wang,2015,Compound.4,2,CC(C)C[C@@H]1NC(=O)[C@@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@@H]2CCCN2C(=O)[C@@H](CC(C)C)NC1=O,6,Circle,-5.46,-4.92,,,2.5477,train,train,train,train,train,train,train,train,train,train,0.27,1,1.0
1049,2015_Wang,2015,Compound.5,10,CC(C)C[C@@H]1NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H]2CCCN2C(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC1=O,6,Circle,-5.91,-5.91,,,2.5477,train,train,train,train,train,train,train,train,train,train,0.0449999999999999,1,0.5225
1050,2015_Wang,2015,Compound.6,1050,CC(C)C[C@@H]1NC(=O)[C@@H](CC(C)C)N(C)C(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H]2CCCN2C(=O)[C@H](CC(C)C)NC1=O,6,Circle,-6.11,-5.77,,,2.8899,train,train,train,train,train,train,train,train,train,train,-0.0550000000000001,0,0.4724999999999999
1051,2015_Wang,2015,Compound.7,1051,CC(C)C[C@@H]1NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H]2CCCN2C(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](CC(C)C)NC1=O,6,Circle,-6.12,-5.11,,,2.8899,train,train,train,train,train,train,train,train,train,train,-0.06,0,0.47
1052,2015_Wang,2015,Compound.8,1052,CC(C)C[C@@H]1NC(=O)[C@H](Cc2ccc(O)cc2)N(C)C(=O)[C@H]2CCCN2C(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC1=O,6,Circle,-5.89,-5.04,,,2.8899,train,train,train,train,train,train,train,train,train,train,0.0550000000000001,1,0.5275000000000001
1056,2015_Wang,2015,Compound.12,25,CC(C)C[C@@H]1NC(=O)[C@H](Cc2ccc(O)cc2)N(C)C(=O)[C@H]2CCCN2C(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](CC(C)C)N(C)C1=O,6,Circle,-6.24,-4.8,,,3.5743,train,train,train,train,train,train,train,train,train,train,-0.1200000000000001,0,0.4399999999999999
1066,2015_Wang,2015,Compound.22,9,CC(C)C[C@@H]1NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H]2CCCN2C(=O)[C@@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC1=O,6,Circle,-6.96,-6.23,,,2.5477,train,train,train,train,train,train,train,train,train,train,-0.48,0,0.0
1129,2016_Frost,2016,Compound.28,1129,CC(C)C[C@@H]1NC(=O)CNC(=O)[C@@H]2CCCN2C(=O)[C@H](C)NC(=O)[C@H](Cc2ccccc2)NC(=O)CNC1=O,6,Circle,-6.89,,,,-1.0135,train,train,train,train,train,train,train,train,train,train,-0.4449999999999998,0,0.0
1135,2016_Furukawa,2016,1.1-02,1135,CCCCCN1CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](CCCC)C(=O)N2CCC[C@@H]2C(=O)N(CC)CC(=O)N[C@@H](C)C1=O,6,Circle,-5.32,,,,1.9111,train,train,train,train,train,train,train,train,train,train,0.3399999999999998,1,1.0
1137,2016_Furukawa,2016,1.1-04,1137,CCCC[C@@H]1NC(=O)[C@H](CC(C)C)N(C)C(=O)CN(CC2CCCCC2)C(=O)[C@H](C)NC(=O)CN(CC)C(=O)[C@H]2CCCN2C1=O,6,Circle,-5.04,,,,2.3012,train,train,train,train,train,train,train,train,train,train,0.48,1,1.0
1138,2016_Furukawa,2016,1.1-05,1138,CCCC[C@@H]1NC(=O)[C@H](CC(C)C)N(C)C(=O)CN(CC2CCOCC2)C(=O)[C@H](C)NC(=O)CN(CC)C(=O)[C@H]2CCCN2C1=O,6,Circle,-7.27,,,,1.1475,train,train,train,train,train,train,train,train,train,train,-0.6349999999999998,0,0.0
1150,2016_Furukawa,2016,1.1-17,1150,CCCCCN1CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](CCCC)C(=O)N2CCC[C@@H]2C(=O)N(CC)CC(=O)N[C@@H](Cc2ccccc2)C1=O,6,Circle,-5.1,,,,3.1339,train,train,train,train,train,train,train,train,train,train,0.4500000000000002,1,1.0
1157,2016_Furukawa,2016,1.1-24,1157,CCCC[C@@H]1NC(=O)[C@H](CC(C)C)N(C)C(=O)CN(CC2CCCCC2)C(=O)[C@H](Cc2ccccc2)NC(=O)CN(CC)C(=O)[C@H]2CCCN2C1=O,6,Circle,-5.54,,,,3.524,train,train,train,train,train,train,train,train,train,train,0.2299999999999999,1,0.615
1158,2016_Furukawa,2016,1.1-25,1158,CCCC[C@@H]1NC(=O)[C@H](CC(C)C)N(C)C(=O)CN(CC2CCOCC2)C(=O)[C@H](Cc2ccccc2)NC(=O)CN(CC)C(=O)[C@H]2CCCN2C1=O,6,Circle,-5.5,-5.98,,,2.3703,train,train,train,train,train,train,train,train,train,train,0.25,1,0.625
1255,2016_Furukawa,2016,1.4-02,1255,CCCCCN1CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](CCCC)C(=O)N2CCC[C@@H]2C(=O)N(CCCOC(C)C)CC(=O)N[C@@H](C)C1=O,6,Circle,-4.88,,,,2.7063,train,train,train,train,train,train,train,train,train,train,0.56,1,1.0
1257,2016_Furukawa,2016,1.4-04,1257,CCCC[C@@H]1NC(=O)[C@H](CC(C)C)N(C)C(=O)CN(CC2CCCCC2)C(=O)[C@H](C)NC(=O)CN(CCCOC(C)C)C(=O)[C@H]2CCCN2C1=O,6,Circle,-4.81,,,,3.0964,train,train,train,train,train,train,train,train,train,train,0.5950000000000002,1,1.0
1258,2016_Furukawa,2016,1.4-05,1258,CCCC[C@@H]1NC(=O)[C@H](CC(C)C)N(C)C(=O)CN(CC2CCOCC2)C(=O)[C@H](C)NC(=O)CN(CCCOC(C)C)C(=O)[C@H]2CCCN2C1=O,6,Circle,-6.47,,,,1.9427,train,train,train,train,train,train,train,train,train,train,-0.2349999999999998,0,0.3825
1270,2016_Furukawa,2016,1.4-17,1270,CCCCCN1CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](CCCC)C(=O)N2CCC[C@@H]2C(=O)N(CCCOC(C)C)CC(=O)N[C@@H](Cc2ccccc2)C1=O,6,Circle,-5.47,,,,3.9291,train,train,train,train,train,train,train,train,train,train,0.2650000000000001,1,1.0
1277,2016_Furukawa,2016,1.4-24,1277,CCCC[C@@H]1NC(=O)[C@H](CC(C)C)N(C)C(=O)CN(CC2CCCCC2)C(=O)[C@H](Cc2ccccc2)NC(=O)CN(CCCOC(C)C)C(=O)[C@H]2CCCN2C1=O,6,Circle,-6.11,,,,4.3192,train,train,train,train,train,train,train,train,train,train,-0.0550000000000001,0,0.4724999999999999
1278,2016_Furukawa,2016,1.4-25,1278,CCCC[C@@H]1NC(=O)[C@H](CC(C)C)N(C)C(=O)CN(CC2CCOCC2)C(=O)[C@H](Cc2ccccc2)NC(=O)CN(CCCOC(C)C)C(=O)[C@H]2CCCN2C1=O,6,Circle,-5.11,,,,3.1655,train,train,train,train,train,train,train,train,train,train,0.4449999999999998,1,1.0
1415,2016_Furukawa,2016,1.8-02,1415,CCCCCN1CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](CCCC)C(=O)N2CCC[C@@H]2C(=O)N(Cc2ccc3c(c2)OCO3)CC(=O)N[C@@H](C)C1=O,6,Circle,-4.86,,,,2.8201,train,train,train,train,train,train,train,train,train,train,0.5699999999999998,1,1.0
1417,2016_Furukawa,2016,1.8-04,1417,CCCC[C@@H]1NC(=O)[C@H](CC(C)C)N(C)C(=O)CN(CC2CCCCC2)C(=O)[C@H](C)NC(=O)CN(Cc2ccc3c(c2)OCO3)C(=O)[C@H]2CCCN2C1=O,6,Circle,-5.25,,,,3.2102,train,train,train,train,train,train,train,train,train,train,0.375,1,1.0
1418,2016_Furukawa,2016,1.8-05,1418,CCCC[C@@H]1NC(=O)[C@H](CC(C)C)N(C)C(=O)CN(CC2CCOCC2)C(=O)[C@H](C)NC(=O)CN(Cc2ccc3c(c2)OCO3)C(=O)[C@H]2CCCN2C1=O,6,Circle,-6.1,,,,2.0565,train,train,train,train,train,train,train,train,train,train,-0.0499999999999998,0,0.4750000000000001
1430,2016_Furukawa,2016,1.8-17,1430,CCCCCN1CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](CCCC)C(=O)N2CCC[C@@H]2C(=O)N(Cc2ccc3c(c2)OCO3)CC(=O)N[C@@H](Cc2ccccc2)C1=O,6,Circle,-7.41,,,,4.0429,train,train,train,train,train,train,train,train,train,train,-0.7050000000000001,0,0.0
1437,2016_Furukawa,2016,1.8-24,1437,CCCC[C@@H]1NC(=O)[C@H](CC(C)C)N(C)C(=O)CN(CC2CCCCC2)C(=O)[C@H](Cc2ccccc2)NC(=O)CN(Cc2ccc3c(c2)OCO3)C(=O)[C@H]2CCCN2C1=O,6,Circle,-7.54,,,,4.433,train,train,train,train,train,train,train,train,train,train,-0.77,0,0.0
1438,2016_Furukawa,2016,1.8-25,1438,CCCC[C@@H]1NC(=O)[C@H](CC(C)C)N(C)C(=O)CN(CC2CCOCC2)C(=O)[C@H](Cc2ccccc2)NC(=O)CN(Cc2ccc3c(c2)OCO3)C(=O)[C@H]2CCCN2C1=O,6,Circle,-5.46,,,,3.2793,train,train,train,train,train,train,train,train,train,train,0.27,1,1.0
1570,2016_Furukawa,2016,2.2-01Me,1135,CCCCCN1CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](CCCC)C(=O)N2CCC[C@@H]2C(=O)N(CC)CC(=O)N[C@@H](C)C1=O,6,Circle,-5.4,,,,1.9111,train,train,train,train,train,train,train,train,train,train,0.2999999999999998,1,1.0
1571,2016_Furukawa,2016,2.2-02Me,1137,CCCC[C@@H]1NC(=O)[C@H](CC(C)C)N(C)C(=O)CN(CC2CCCCC2)C(=O)[C@H](C)NC(=O)CN(CC)C(=O)[C@H]2CCCN2C1=O,6,Circle,-5.05,,,,2.3012,train,train,train,train,train,train,train,train,train,train,0.4750000000000001,1,1.0
1572,2016_Furukawa,2016,2.2-03Me,1138,CCCC[C@@H]1NC(=O)[C@H](CC(C)C)N(C)C(=O)CN(CC2CCOCC2)C(=O)[C@H](C)NC(=O)CN(CC)C(=O)[C@H]2CCCN2C1=O,6,Circle,-6.76,,,,1.1475,train,train,train,train,train,train,train,train,train,train,-0.3799999999999999,0,0.0
1573,2016_Furukawa,2016,2.2-04Me,1255,CCCCCN1CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](CCCC)C(=O)N2CCC[C@@H]2C(=O)N(CCCOC(C)C)CC(=O)N[C@@H](C)C1=O,6,Circle,-4.97,,,,2.7063,train,train,train,train,train,train,train,train,train,train,0.5150000000000001,1,1.0
1574,2016_Furukawa,2016,2.2-05Me,1150,CCCCCN1CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](CCCC)C(=O)N2CCC[C@@H]2C(=O)N(CC)CC(=O)N[C@@H](Cc2ccccc2)C1=O,6,Circle,-5.04,,,,3.1339,train,train,train,train,train,train,train,train,train,train,0.48,1,1.0
1575,2016_Furukawa,2016,2.2-06Me,1257,CCCC[C@@H]1NC(=O)[C@H](CC(C)C)N(C)C(=O)CN(CC2CCCCC2)C(=O)[C@H](C)NC(=O)CN(CCCOC(C)C)C(=O)[C@H]2CCCN2C1=O,6,Circle,-4.88,,,,3.0964,train,train,train,train,train,train,train,train,train,train,0.56,1,1.0
1576,2016_Furukawa,2016,2.2-07Me,1258,CCCC[C@@H]1NC(=O)[C@H](CC(C)C)N(C)C(=O)CN(CC2CCOCC2)C(=O)[C@H](C)NC(=O)CN(CCCOC(C)C)C(=O)[C@H]2CCCN2C1=O,6,Circle,-6.19,,,,1.9427,train,train,train,train,train,train,train,train,train,train,-0.0950000000000002,0,0.4524999999999999
1577,2016_Furukawa,2016,2.2-08Me,1157,CCCC[C@@H]1NC(=O)[C@H](CC(C)C)N(C)C(=O)CN(CC2CCCCC2)C(=O)[C@H](Cc2ccccc2)NC(=O)CN(CC)C(=O)[C@H]2CCCN2C1=O,6,Circle,-5.37,,,,3.524,train,train,train,train,train,train,train,train,train,train,0.3149999999999999,1,1.0
1578,2016_Furukawa,2016,2.2-09Me,1158,CCCC[C@@H]1NC(=O)[C@H](CC(C)C)N(C)C(=O)CN(CC2CCOCC2)C(=O)[C@H](Cc2ccccc2)NC(=O)CN(CC)C(=O)[C@H]2CCCN2C1=O,6,Circle,-5.18,,,,2.3703,train,train,train,train,train,train,train,train,train,train,0.4100000000000001,1,1.0
1579,2016_Furukawa,2016,2.2-10Me,1415,CCCCCN1CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](CCCC)C(=O)N2CCC[C@@H]2C(=O)N(Cc2ccc3c(c2)OCO3)CC(=O)N[C@@H](C)C1=O,6,Circle,-4.91,,,,2.8201,train,train,train,train,train,train,train,train,train,train,0.5449999999999999,1,1.0
1580,2016_Furukawa,2016,2.2-11Me,1417,CCCC[C@@H]1NC(=O)[C@H](CC(C)C)N(C)C(=O)CN(CC2CCCCC2)C(=O)[C@H](C)NC(=O)CN(Cc2ccc3c(c2)OCO3)C(=O)[C@H]2CCCN2C1=O,6,Circle,-5.12,,,,3.2102,train,train,train,train,train,train,train,train,train,train,0.4399999999999999,1,1.0
1581,2016_Furukawa,2016,2.2-12Me,1418,CCCC[C@@H]1NC(=O)[C@H](CC(C)C)N(C)C(=O)CN(CC2CCOCC2)C(=O)[C@H](C)NC(=O)CN(Cc2ccc3c(c2)OCO3)C(=O)[C@H]2CCCN2C1=O,6,Circle,-5.54,,,,2.0565,train,train,train,train,train,train,train,train,train,train,0.2299999999999999,1,0.615
1582,2016_Furukawa,2016,2.2-13Me,1270,CCCCCN1CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](CCCC)C(=O)N2CCC[C@@H]2C(=O)N(CCCOC(C)C)CC(=O)N[C@@H](Cc2ccccc2)C1=O,6,Circle,-5.48,,,,3.9291,train,train,train,train,train,train,train,train,train,train,0.2599999999999998,1,1.0
1583,2016_Furukawa,2016,2.2-14Me,1277,CCCC[C@@H]1NC(=O)[C@H](CC(C)C)N(C)C(=O)CN(CC2CCCCC2)C(=O)[C@H](Cc2ccccc2)NC(=O)CN(CCCOC(C)C)C(=O)[C@H]2CCCN2C1=O,6,Circle,-5.86,,,,4.3192,train,train,train,train,train,train,train,train,train,train,0.0699999999999998,1,0.5349999999999999
1584,2016_Furukawa,2016,2.2-15Me,1278,CCCC[C@@H]1NC(=O)[C@H](CC(C)C)N(C)C(=O)CN(CC2CCOCC2)C(=O)[C@H](Cc2ccccc2)NC(=O)CN(CCCOC(C)C)C(=O)[C@H]2CCCN2C1=O,6,Circle,-5.0,,,,3.1655,train,train,train,train,train,train,train,train,train,train,0.5,1,1.0
1585,2016_Furukawa,2016,2.2-16Me,1430,CCCCCN1CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](CCCC)C(=O)N2CCC[C@@H]2C(=O)N(Cc2ccc3c(c2)OCO3)CC(=O)N[C@@H](Cc2ccccc2)C1=O,6,Circle,-6.67,,,,4.0429,train,train,train,train,train,train,train,train,train,train,-0.3349999999999999,0,0.0
1586,2016_Furukawa,2016,2.2-17Me,1437,CCCC[C@@H]1NC(=O)[C@H](CC(C)C)N(C)C(=O)CN(CC2CCCCC2)C(=O)[C@H](Cc2ccccc2)NC(=O)CN(Cc2ccc3c(c2)OCO3)C(=O)[C@H]2CCCN2C1=O,6,Circle,-7.31,,,,4.433,train,train,train,train,train,train,train,train,train,train,-0.6549999999999998,0,0.0
1587,2016_Furukawa,2016,2.2-18Me,1438,CCCC[C@@H]1NC(=O)[C@H](CC(C)C)N(C)C(=O)CN(CC2CCOCC2)C(=O)[C@H](Cc2ccccc2)NC(=O)CN(Cc2ccc3c(c2)OCO3)C(=O)[C@H]2CCCN2C1=O,6,Circle,-5.19,,,,3.2793,train,train,train,train,train,train,train,train,train,train,0.4049999999999998,1,1.0
1827,2016_Hickey,2016,cyclo[DPro-MeTyr-Leu-DMeLeu-MeLeu-Leu] (6),25,CC(C)C[C@@H]1NC(=O)[C@H](Cc2ccc(O)cc2)N(C)C(=O)[C@H]2CCCN2C(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](CC(C)C)N(C)C1=O,6,Circle,-6.4,,,,3.5743,train,train,train,train,train,train,train,train,train,train,-0.2000000000000001,0,0.3999999999999999
2328,2018_Naylor,2018,1NMe3-6Tyr(34),25,CC(C)C[C@@H]1NC(=O)[C@H](Cc2ccc(O)cc2)N(C)C(=O)[C@H]2CCCN2C(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](CC(C)C)N(C)C1=O,6,Circle,-5.52,,,-4.88,3.5743,train,train,train,train,train,train,train,train,train,train,0.2400000000000002,1,0.6200000000000001
2346,2018_Naylor,2018,1NMe3perNH(52),10,CC(C)C[C@@H]1NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H]2CCCN2C(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC1=O,6,Circle,-5.64,,,-5.87,2.5477,train,train,train,train,train,train,train,train,train,train,0.1800000000000001,1,0.5900000000000001
2456,2020_Hosono,2020,CP1,10,CC(C)C[C@@H]1NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H]2CCCN2C(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC1=O,6,Circle,-6.52,,,,2.5477,train,train,train,train,train,train,train,train,train,train,-0.2599999999999998,0,0.0
2462,2020_Hosono,2020,MP1,1052,CC(C)C[C@@H]1NC(=O)[C@H](Cc2ccc(O)cc2)N(C)C(=O)[C@H]2CCCN2C(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC1=O,6,Circle,-6.0,,,,2.8899,train,train,train,train,train,train,train,train,train,train,0.0,0,0.5
2464,2020_Hosono,2020,MP3,1050,CC(C)C[C@@H]1NC(=O)[C@@H](CC(C)C)N(C)C(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H]2CCCN2C(=O)[C@H](CC(C)C)NC1=O,6,Circle,-6.22,,,,2.8899,train,train,train,train,train,train,train,train,train,train,-0.1099999999999998,0,0.445
2465,2020_Hosono,2020,MP4,1051,CC(C)C[C@@H]1NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H]2CCCN2C(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](CC(C)C)NC1=O,6,Circle,-5.66,,,,2.8899,train,train,train,train,train,train,train,train,train,train,0.1699999999999999,1,0.585
6496,2021_Kelly,2021,L1_5.2.1.2.4.1,6496,CC(=O)N1CCC[C@H]1C(=O)N(C)[C@H](CC(C)C)C(=O)N[C@@H]1C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](CC(C)C)C(=O)N(C)[C@H](C)C(=O)N[C@@H](CC(C)C)C(=O)N2CCC[C@H]2C(=O)O[C@@H]1C,10,Lariat,-5.06,,-4.86,,2.262,train,train,train,train,train,train,train,train,train,train,0.4700000000000002,1,1.0
7101,2021_Kelly,2021,L5_20,6496,CC(=O)N1CCC[C@H]1C(=O)N(C)[C@H](CC(C)C)C(=O)N[C@@H]1C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](CC(C)C)C(=O)N(C)[C@H](C)C(=O)N[C@@H](CC(C)C)C(=O)N2CCC[C@H]2C(=O)O[C@@H]1C,10,Lariat,-5.34,,,,2.262,train,train,train,train,train,train,train,train,train,train,0.33,1,1.0
7377,2022_Saunders,2022,Cyclo-(PGLGFA) (1),1129,CC(C)C[C@@H]1NC(=O)CNC(=O)[C@@H]2CCCN2C(=O)[C@H](C)NC(=O)[C@H](Cc2ccccc2)NC(=O)CNC1=O,6,Circle,-8.0,,,,-1.0135,train,train,train,train,train,train,train,train,train,train,-1.0,0,0.0
7401,2022_Taechalertpaisarn,2022,ID.3-Pye2,7401,CC(C)C[C@@H]1NC(=O)[C@@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CCC(=O)N2CCCC2)NC(=O)[C@H]2CCCN2C(=O)[C@H](CC(C)C)NC1=O,6,Circle,-5.84,-6.41,,,2.002,train,train,train,train,train,train,train,train,train,train,0.08,1,0.54
7402,2022_Taechalertpaisarn,2022,ID.3-Pye3,7402,CC(C)C[C@@H]1NC(=O)[C@@H](CC(C)C)NC(=O)[C@H](CCC(=O)N2CCCC2)NC(=O)[C@@H](CC(C)C)NC(=O)[C@H]2CCCN2C(=O)[C@H](CC(C)C)NC1=O,6,Circle,-6.64,-7.15,,,2.002,train,train,train,train,train,train,train,train,train,train,-0.3199999999999998,0,0.0
7411,2022_Taechalertpaisarn,2022,ID.3-Pye2,7401,CC(C)C[C@@H]1NC(=O)[C@@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CCC(=O)N2CCCC2)NC(=O)[C@H]2CCCN2C(=O)[C@H](CC(C)C)NC1=O,6,Circle,-5.89,,,,2.002,train,train,train,train,train,train,train,train,train,train,0.0550000000000001,1,0.5275000000000001
7426,2022_Taechalertpaisarn,2022,ID.3-Pye3,7402,CC(C)C[C@@H]1NC(=O)[C@@H](CC(C)C)NC(=O)[C@H](CCC(=O)N2CCCC2)NC(=O)[C@@H](CC(C)C)NC(=O)[C@H]2CCCN2C(=O)[C@H](CC(C)C)NC1=O,6,Circle,-6.7,,,,2.002,train,train,train,train,train,train,train,train,train,train,-0.3500000000000001,0,0.0
1665,2016_Furukawa,2016,2.4-06H,1665,CCCC[C@@H]1NC(=O)[C@H](CC(C)C)NC(=O)CN(CC2CCCCC2)C(=O)[C@@H](C)NC(=O)CN(CCCOC(C)C)C(=O)[C@H]2CCCN2C1=O,6,Circle,-5.86,,,,2.7542,train,train,train,train,valid,test,train,train,train,train,0.0699999999999998,1,0.5349999999999999
6703,2021_Kelly,2021,L1_9.1.3.4.3.2,6703,CC(=O)N1CCC[C@H]1C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H]1C(=O)N[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@H](CC(C)C)C(=O)N(C)[C@@H](C)C(=O)N[C@H](CC(C)C)C(=O)N2CCC[C@H]2C(=O)O[C@@H]1C,10,Lariat,-6.26,,,,2.9464,train,train,train,train,train,train,test,train,test,train,-0.1299999999999999,0,0.435
