Comp ,Target MS,ALogP,R6,R1,R2,RT (sec),%T1,%R1,Papp1,%T2,%R2,Papp2,%T3,%R3,Papp3,Ave_%R,SD_%R,Ave_Papp,SD_Papp,Ave LogPapp
1.3-12,704.471,0.81,A03,Ala,A20,218,0.2,102,0.02,0.4,94.4,0.03,0.2,100.7,0.02,99.01,4.06,0.02,0.01,-7.62
1.3-13,711.48,3.91,A03,Leu,A13,264,29.3,12.2,2.81,35.9,12,3.6,42.8,11,4.52,11.72,0.62,3.65,0.86,-5.44
1.3-14,713.46,2.52,A03,Phe,A11,253,61.7,34,7.76,66.6,36.6,8.87,70.2,38.3,9.79,36.29,2.19,8.81,1.02,-5.06
1.3-15,717.527,4.51,A03,Leu,A14,277,6.4,11.5,0.53,7.7,11.5,0.65,8.6,10.5,0.73,11.18,0.56,0.64,0.1,-6.2
1.3-16,719.507,2.74,A03,Leu,A15,248,61.6,73.8,7.75,66.9,80.3,8.94,67.3,76.4,9.04,76.81,3.3,8.58,0.72,-5.07
1.3-17,725.496,4.43,A03,Phe,A12,269,13.7,12.1,1.19,10.6,11.3,0.91,12.5,10.3,1.08,11.24,0.94,1.06,0.14,-5.97
1.3-18,726.491,3.08,A03,Leu,A16,224,43.4,75.2,4.61,48.9,85.1,5.44,48.1,79,5.3,79.75,4.98,5.12,0.45,-5.29
1.3-19,739.512,4.68,A03,Leu,A17,270,9.3,11.5,0.79,11.4,10.8,0.98,12.8,9.8,1.11,10.71,0.83,0.96,0.16,-6.02
1.3-20,741.491,3.95,A03,Leu,A18,268,12.3,10.8,1.06,14.8,10.5,1.3,17.3,8.5,1.54,9.93,1.24,1.3,0.24,-5.89
1.3-21,743.518,3.33,A03,Leu,A19,244,42.3,76.5,4.45,50.4,81.9,5.67,46.7,79.7,5.09,79.37,2.74,5.07,0.61,-5.3
1.3-22,745.465,4.23,A03,Phe,A13,265,7.7,12.9,0.65,10.7,11.4,0.92,12.1,10.1,1.04,11.44,1.38,0.87,0.2,-6.06
1.3-23,746.517,2.04,A03,Leu,A20,238,5.4,85.9,0.45,8,87.4,0.67,5.7,81.5,0.48,84.94,3.07,0.53,0.12,-6.27
1.3-24,751.512,4.84,A03,Phe,A14,277,1.7,15.6,0.14,1.9,15.7,0.16,1.9,15.2,0.16,15.53,0.27,0.15,0.01,-6.82
1.3-25,753.491,3.07,A03,Phe,A15,250,60.1,40.9,7.43,66.3,45.1,8.8,68.1,46.1,9.24,44.02,2.73,8.49,0.94,-5.07
1.3-26,760.476,3.4,A03,Phe,A16,227,38.2,49.3,3.9,44.1,54,4.71,44.1,51.8,4.71,51.69,2.31,4.44,0.47,-5.35
1.3-27,763.475,3.42,A03,2-Nal,A11,262,19.5,12,1.76,24.3,12.1,2.25,28.5,10.1,2.72,11.39,1.08,2.24,0.48,-5.65
1.3-28,773.496,5.01,A03,Phe,A17,270,2.8,14.4,0.23,3.2,14,0.26,3.7,13,0.31,13.8,0.73,0.27,0.04,-6.57
1.3-29,775.475,4.28,A03,Phe,A18,268,4.9,14.6,0.41,5.7,14.6,0.47,6.4,12.7,0.54,13.97,1.09,0.47,0.07,-6.33
1.3-30,775.512,5.34,A03,2-Nal,A12,277,0.1,25.3,0.01,0,27.2,0,0,22.7,0,25.05,2.24,0,0,-8.59
1.3-31,777.502,3.66,A03,Phe,A19,245,47.9,51,5.28,54.7,55.3,6.41,55.7,53.9,6.58,53.43,2.19,6.09,0.71,-5.22
1.3-32,780.502,2.36,A03,Phe,A20,241,9.2,83.2,0.79,13.4,88.6,1.17,9.9,81,0.84,84.26,3.94,0.93,0.21,-6.03
1.3-33,795.48,5.14,A03,2-Nal,A13,274,0.2,33.9,0.02,0.2,33.3,0.01,0.3,30,0.02,32.39,2.1,0.02,0.01,-7.78
1.3-34,801.527,5.74,A03,2-Nal,A14,284,0,40.4,0,0,45,0,0.1,39.6,0.01,41.64,2.92,0,0,-8.71
1.3-35,803.507,3.97,A03,2-Nal,A15,260,26.1,13.3,2.45,31,13.2,3,35.1,12,3.5,12.84,0.7,2.99,0.53,-5.53
1.3-36,810.491,4.31,A03,2-Nal,A16,236,26,17,2.44,33.4,16.8,3.29,32.8,15.2,3.22,16.34,0.98,2.98,0.47,-5.53
1.3-37,823.512,5.92,A03,2-Nal,A17,277,0,38.4,0,0,43.9,0,0,35.6,0,39.3,4.2,0,0,-8.95
1.3-38,825.491,5.19,A03,2-Nal,A18,277,0.1,37.4,0.01,0.1,42.8,0.01,0.2,35.2,0.01,38.45,3.9,0.01,0,-7.97
1.3-39,827.518,4.57,A03,2-Nal,A19,254,19.4,13.4,1.75,26.2,12.9,2.46,26.2,11.2,2.46,12.5,1.16,2.22,0.41,-5.65
1.3-40,830.517,3.27,A03,2-Nal,A20,251,19.8,31.3,1.78,26.7,32.2,2.52,20.5,33.3,1.86,32.25,1.01,2.05,0.4,-5.69
1.4-01,681.455,0.43,A04,Ala,A11,227,5.9,92.2,0.49,5.9,91.1,0.49,5.3,96.7,0.44,93.34,2.98,0.48,0.03,-6.32
1.4-02,693.491,2.34,A04,Ala,A12,248,82.6,71.3,14.15,78.9,71,12.59,78.6,72.4,12.49,71.59,0.75,13.07,0.93,-4.88
1.4-03,713.46,2.14,A04,Ala,A13,245,73.8,66.8,10.85,73,69.5,10.61,72.3,70,10.38,68.77,1.69,10.61,0.23,-4.97
1.4-04,719.507,2.75,A04,Ala,A14,257,87,44.3,16.53,84.3,47.6,15,84,48,14.83,46.62,2.01,15.46,0.94,-4.81
1.4-05,721.486,0.98,A04,Ala,A15,227,4.3,91.6,0.35,4.3,90.7,0.35,3.8,96.6,0.31,92.99,3.2,0.34,0.02,-6.47
1.4-06,723.501,1.66,A04,Leu,A11,252,69.1,66.9,9.49,66.1,72.5,8.75,64.2,72.2,8.32,70.55,3.17,8.85,0.6,-5.05
1.4-07,728.471,1.31,A04,Ala,A16,206,2.4,97.4,0.2,2.2,93.4,0.18,2,101.2,0.16,97.31,3.87,0.18,0.02,-6.74
1.4-08,735.538,3.57,A04,Leu,A12,271,49.2,9.1,5.48,54,9.8,6.28,49.4,11.3,5.51,10.05,1.15,5.76,0.46,-5.24
1.4-09,741.491,2.92,A04,Ala,A17,250,81.2,50.6,13.54,80.4,50.9,13.19,79.2,54.7,12.7,52.06,2.25,13.14,0.42,-4.88
1.4-10,743.47,2.19,A04,Ala,A18,248,67.9,46.2,9.19,64.9,48.7,8.47,65.2,49.9,8.55,48.27,1.93,8.74,0.39,-5.06
1.4-11,745.497,1.57,A04,Ala,A19,225,2.7,97.3,0.22,2.7,93.9,0.22,2.4,99.5,0.2,96.9,2.82,0.21,0.02,-6.67
1.4-12,748.497,0.27,A04,Ala,A20,218,0.3,96.6,0.02,0.2,90.4,0.02,0.2,99.8,0.02,95.59,4.79,0.02,0,-7.72
1.4-13,755.507,3.37,A04,Leu,A13,266,53.2,10.5,6.14,59,10.8,7.22,56.4,12.1,6.72,11.12,0.85,6.69,0.54,-5.17
1.4-14,757.486,1.98,A04,Phe,A11,253,66.3,45.6,8.8,64.9,52.1,8.47,61.4,52.5,7.69,50.09,3.89,8.32,0.57,-5.08
1.4-15,761.554,3.98,A04,Leu,A14,278,16.3,6.6,1.44,23.4,6.5,2.16,17.6,8.4,1.56,7.18,1.02,1.72,0.39,-5.76
1.4-16,763.533,2.21,A04,Leu,A15,249,61.1,75.4,7.64,58.2,75.6,7.07,57.3,78.9,6.89,76.64,1.98,7.2,0.4,-5.14
1.4-17,769.522,3.9,A04,Phe,A12,269,30.8,7,2.98,38.5,7.2,3.94,32.2,8.9,3.14,7.69,1.04,3.35,0.51,-5.47
1.4-18,770.517,2.54,A04,Leu,A16,225,34.5,82.3,3.42,34.8,85.1,3.46,32.1,87.3,3.13,84.92,2.53,3.34,0.18,-5.48
1.4-19,783.538,4.15,A04,Leu,A17,271,25.1,6.6,2.34,30.6,6.7,2.95,24.4,8.5,2.26,7.3,1.08,2.52,0.38,-5.6
1.4-20,785.517,3.42,A04,Leu,A18,269,31.4,5.9,3.04,36.5,6.8,3.68,29.5,7.9,2.83,6.91,1,3.18,0.44,-5.5
1.4-21,787.544,2.8,A04,Leu,A19,245,37.7,72.8,3.83,36,78.2,3.62,35.8,78.5,3.59,76.5,3.2,3.68,0.13,-5.43
1.4-22,789.491,3.7,A04,Phe,A13,266,28,7.2,2.66,34.3,7.2,3.41,30.3,8.7,2.92,7.71,0.87,2.99,0.38,-5.52
1.4-23,790.544,1.5,A04,Leu,A20,239,4.7,85,0.39,4,85.9,0.33,3.6,90.8,0.3,87.24,3.15,0.34,0.05,-6.47
1.4-24,795.538,4.3,A04,Phe,A14,277,8,8.2,0.67,12.4,7.1,1.07,7.2,10.3,0.6,8.53,1.67,0.78,0.25,-6.11
1.4-25,797.517,2.53,A04,Phe,A15,251,62.7,48.9,7.98,60.8,51.9,7.57,60.9,54.1,7.61,51.62,2.63,7.72,0.23,-5.11
1.4-26,804.502,2.87,A04,Phe,A16,227,33.3,57.1,3.28,32.1,61.6,3.13,30,65.3,2.89,61.33,4.1,3.1,0.2,-5.51
1.4-27,807.501,2.89,A04,2-Nal,A11,263,48.5,10.7,5.37,49.6,12.1,5.54,49.1,13.6,5.46,12.14,1.46,5.46,0.09,-5.26
1.4-28,817.522,4.47,A04,Phe,A17,271,13.8,6.6,1.2,20,6.5,1.81,13.3,8.2,1.16,7.09,1,1.39,0.36,-5.86
1.4-29,819.501,3.75,A04,Phe,A18,269,16.7,6.6,1.48,26,7.5,2.44,16.5,8.5,1.46,7.53,0.97,1.79,0.56,-5.75
1.4-30,819.538,4.81,A04,2-Nal,A12,278,0.4,8.9,0.03,1.2,4.7,0.1,0.8,9.8,0.06,7.78,2.7,0.06,0.03,-7.19
1.4-31,821.528,3.12,A04,Phe,A19,245,46,55.1,4.99,42.5,62.1,4.47,42.5,63.8,4.48,60.33,4.6,4.65,0.29,-5.33
1.4-32,824.528,1.83,A04,Phe,A20,241,7.7,83.7,0.65,7.1,85.9,0.59,6.3,87.3,0.52,85.64,1.82,0.59,0.06,-6.23
1.4-33,839.507,4.6,A04,2-Nal,A13,275,2.5,12.3,0.2,4.9,10.5,0.4,2.9,15.2,0.24,12.68,2.34,0.28,0.11,-6.55
1.4-34,845.554,5.21,A04,2-Nal,A14,285,0.7,16,0.06,2.3,11.8,0.19,0.8,18.7,0.07,15.5,3.44,0.1,0.07,-6.98
1.4-35,847.533,3.44,A04,2-Nal,A15,260,47.6,11.2,5.23,48,12.9,5.29,48.4,14,5.36,12.7,1.38,5.29,0.06,-5.28
1.4-36,854.517,3.78,A04,2-Nal,A16,237,43.4,17.5,4.6,46.5,18.6,5.06,44.4,21.3,4.75,19.12,1.95,4.8,0.24,-5.32
1.4-37,867.538,5.38,A04,2-Nal,A17,278,1,13.8,0.08,1.9,12.9,0.15,0.9,17.3,0.07,14.69,2.3,0.1,0.05,-7
1.4-38,869.517,4.65,A04,2-Nal,A18,277,1.7,13.8,0.14,2.8,15.1,0.23,1.4,18,0.11,15.62,2.13,0.16,0.06,-6.8
1.4-39,871.544,4.03,A04,2-Nal,A19,255,35.4,13.3,3.53,37.3,14.8,3.77,36.5,16.3,3.67,14.76,1.5,3.66,0.12,-5.44
1.4-40,874.544,2.74,A04,2-Nal,A20,251,18.3,35.8,1.63,16.3,41.5,1.44,16.2,42.1,1.43,39.8,3.47,1.5,0.12,-5.82
1.5-01,694.45,-0.41,A05,Ala,A11,189,0.1,104.8,0.01,0.1,120.4,0.01,0.1,122.3,0.01,115.84,9.59,0.01,0,-8.12
1.5-02,706.486,1.51,A05,Ala,A12,207,5.1,96.3,0.42,4.5,105.2,0.37,4.1,107.5,0.34,102.99,5.89,0.38,0.04,-6.42
1.5-03,726.455,1.31,A05,Ala,A13,204,4.6,92.2,0.38,3.7,107.2,0.3,3.4,108.6,0.28,102.66,9.09,0.32,0.05,-6.49
1.5-04,732.502,1.91,A05,Ala,A14,213,16,83.1,1.41,13,97.9,1.13,12,100.4,1.03,93.8,9.38,1.19,0.2,-5.92
1.5-05,734.481,0.14,A05,Ala,A15,189,0.1,101.7,0.01,0.1,119.8,0.01,0,120.8,0,114.1,10.78,0.01,0,-8.28
1.5-06,736.497,0.83,A05,Leu,A11,207,3.3,95.3,0.27,2.7,107.2,0.22,2.4,109.6,0.2,104.04,7.64,0.23,0.04,-6.64
1.5-07,741.466,0.48,A05,Ala,A16,169,0.5,99.5,0.04,0.3,112.1,0.03,0.4,114.3,0.04,108.63,7.99,0.03,0.01,-7.48
1.5-08,748.533,2.74,A05,Leu,A12,224,53,47,6.12,45.4,53.4,4.9,46.1,57.4,5,52.6,5.22,5.34,0.68,-5.27
